,Sexist tokens
289,play
290,footbal
291,lost
292,told
293,n't
294,take
295,us
296,anywher
297,fuuck
298,femal
299,driver
300,sexist
301,bro
302,huh
303,funni
304,find
305,backward
306,call
307,sexist
308,think
309,backward
310,femal
311,footbal
312,comment
313,dont
314,ever
315,let
316,women
317,drive
318,break
319,arm
320,sexist
321,canadian
322,anthem
323,chang
324,...
325,tradit
326,know
327,men
328,women
329,equal
330,sexist
331,usual
332,walk
333,away
334,women
335,sport
336,announc
337,sportscent
338,minut
339,length
340,time
341,minutes'..
342,dear
343,men
344,sexist
345,n't
346,get
347,women
348,like
349,dear
350,women
351,nag
352,work
353,``
354,want
355,equal
356,right
357,still
358,want
359,seat
360,bu
361,still
362,pay
363,date
364,sexist
365,joke
366,-ig
367,real
368,?
369,sexist
370,men
371,superior
372,sexist
373,girl
374,fart
375,openli
376,near
377,...
378,http
379,pleas
380,women
381,stay
382,singl
383,pleas
384,women
385,commit
386,man
387,commit
388,gym
389,well
390,call
391,sexist
392,hate
393,femal
394,receptionist
395,alway
396,give
397,attitud
398,like
399,reason
400,bf
401,broke
402,call
403,sexist
404,femal
405,sport
406,anchor
407,r
408,worst
409,make
410,uncomfort
411,women
412,know
413,sport
414,sexist
415,laugh
416,girl
417,say
418,boy
419,immatur
420,tweet
421,stuff
422,com
423,sexist
424,give
425,girl
426,street
427,cloth
428,expect
429,go
430,home
431,iron
432,sexist
433,come
434,home
435,bed
436,n't
437,made
438,gone
439,kick
440,mum
441,hous
442,pay
443,bill
444,household
445,least
446,sexist
447,tweet
448,par
449,excel
450,sexist
451,women
452,serious
453,aw
454,driver
455,sexist
456,women
457,announc
458,footbal
459,sexist
460,...
461,serious
462,femal
463,need
464,abl
465,cook
466,dna
467,think
468,men
469,better
470,comedian
471,...
472,ahh
473,chick
474,announc
475,game
476,espn
477,annoy
478,woman
479,report
480,soccer
481,saturday
482,n't
483,got
484,clue
485,thing
486,woman
487,help
488,man
489,build
490,relationship
491,sexist
492,ca
493,n't
494,handl
495,femal
496,play
497,play
498,announc
499,espn
500,iowa
501,vs.
502,michigan
503,st.
504,noth
505,stat
506,vomit
507,sexist
508,everyth
509,seem
510,women
511,women
512,women
513,hayi
514,khona
515,anikahl
516,make
517,tire
518,sexist
519,women
520,comedian
521,n't
522,funni
523,test
524,like
525,women
526,hard
527,understand
528,easi
529,get
530,nonrefund
531,call
532,sexist
533,women
534,never
535,allow
536,talk
537,sport
538,tv
539,call
540,sexist
541,idc
542,women
543,announc
544,footbal
545,game
546,thought
547,msu
548,game
549,could
550,n't
551,hard
552,sexist
553,told
554,billion
555,time
556,valu
557,entitl
558,opinion
559,refer
560,``
561,ret****d
562,driver
563,boot
564,worrrrrrd
565,especi
566,middl
567,age
568,women
569,ladi
570,current
571,drive
572,bu
573,...
574,funnili
575,enough
576,hit
577,curb
578,twice
579,rais
580,women
581,major
582,cowork
583,r
584,women
585,``
586,interpret
587,word
588,wish
589,matter
590,much
591,twist
592,em
593,``
594,sexist
595,women
596,everywher
597,women
598,n't
599,give
600,damn
601,call
602,sexist
603,whatev
604,realli
605,n't
606,give
607,damn
608,women
609,sport
610,stay
611,outv
612,congress
613,deal
614,call
615,sexist
616,bt
617,super
618,bowl
619,b
620,guy
621,women
622,allow
623,n
624,th
625,stadium
626,call
627,sexist
628,want
629,find
630,femal
631,sportscast
632,realli
633,annoy
634,promis
635,sexist
636,wtf
637,woman
638,ferrari
639,?
640,sexist
641,hold
642,firm
643,belief
644,girls/women
645,n't
646,allow
647,drive
648,need
649,explain
650,let
651,know
652,cop
653,say
654,see
655,women
656,men
657,wearhous
658,today
659,im
660,call
661,polic
662,sorri
663,im
664,sexist
665,want
666,everyon
667,know
668,im
669,sexist
670,...
671,women
672,piss
673,fuck
674,call
675,sexist
676,femal
677,tryna
678,b
679,president.just
680,stop
681,reason
682,call
683,found
684,father
685,funni
686,hous
687,republican
688,men
689,sexist
690,women
691,damn
692,stubborn
693,sexist
694,women
695,sport
696,report
697,alway
698,look
699,like
700,idea
701,sexist
702,hate
703,girl
704,alway
705,made
706,victim
707,ok
708,watch
709,espn
710,want
711,guy
712,women
713,tell
714,latest
715,news
716,show
717,highlight
718,call
719,sexist
720,guess
721,call
722,sexist
723,go
724,auto
725,place
726,rather
727,talk
728,guy
729,go
730,ahead
731,call
732,sexist
733,trust
734,girl
735,gun
736,store
737,need
738,woman
739,laundri
740,women
741,comedian
742,suck
743,cri
744,poorli
745,rais
746,mother
747,need
748,sandwich
749,north
750,american
751,children/teen
752,complet
753,pussi
754,compar
755,part
756,world
757,way
758,vote
759,src..
760,call
761,sexist
762,aint
763,vote
764,lady..
765,tbh
766,call
767,sexist
768,sight
769,girl
770,smoke
771,unpleas
772,call
773,sexist
774,n't
775,everyon
776,panel
777,either
778,play
779,coach
780,collegi
781,level
782,?
783,n't
784,stop
785,all-mal
786,women
787,health
788,panel
789,congress
790,ca
791,n't
792,stand
793,femal
794,announc
795,play
796,play
797,footbal
798,sexist
799,everi
800,time
801,hear
802,holli
803,row
804,game
805,ca
806,sexist
807,femal
808,comment
809,killong
810,sexist
811,noth
812,annoy
813,femal
814,sport
815,writer
816,cover
817,men
818,sport
819,sexist
820,like
821,arya
822,``
823,boy
824,yet
825,wash
826,dish
827,still
828,call
829,sexist
830,whatev
831,...
832,like
833,femal
834,play
835,play
836,announc
837,footbal
838,n't
839,work
840,im
841,sexist
842,woman
843,hate
844,men
845,stare
846,breast
847,one
848,wear
849,top
850,size
851,small
852,actual
853,annoy
854,somehow
855,doubt
856,peopl
857,would
858,satisfi
859,presid
860,women
861,sexist
862,woman
863,score
864,great
865,goal
866,mean
867,women
868,footbal
869,good
870,blond
871,want
872,call
873,sexist
874,sound
875,femal
876,hockey
877,fan
878,screech
879,ice
880,noseble
881,caus
882,pain
883,id
884,rather
885,hear
886,call
887,sexist
888,realli
889,n't
890,like
891,femal
892,countri
893,singer
894,call
895,sexist
896,n't
897,like
898,girl
899,overli
900,footbal
901,sexist
902,sometim
903,look
904,femal
905,ponder
906,offer
907,goat
908,full
909,sack
910,potato
911,hand
912,sexist
913,girl
914,wear
915,ear
916,look
917,wrong
918,guy
919,sexist
920,women
921,ca
922,n't
923,drive
924,...
925,n't
926,know
927,women
928,fiction
929,drive
930,mental
931,yeah
932,like
933,start
934,war
935,sexist
936,thing
937,women
938,men
939,wo
940,n't
941,sexist
942,women
943,shuld
944,familiaris
945,wit
946,pot
947,way
948,man
949,heart
950,thru
951,stomach
952,girl
953,comment
954,rugbi
955,end
956,ca
957,n't
958,stand
959,women
960,comment
961,footbal
962,sexist
963,footbal
964,dude
965,say
966,like
967,[
968,women
969,]
970,know
971,anyth
972,footbal
973,lol
974,need
975,get
976,back
977,kitchen
978,ask
979,lol
980,n't
981,know
982,could
983,throw
984,intercept
985,make
986,tackl
987,kitchen
988,need
989,go
990,intercept
991,dish
992,ya
993,know
994,say
995,sexist
996,believ
997,women
998,hold
999,differ
1000,standard
1001,guy
1002,like
1003,carri
1004,themselves..
1005,sexist
1006,male
1007,comedian
1008,much
1009,funnier
1010,femal
1011,one
1012,sexist
1013,racist
1014,...
1015,okay
1016,mayb
1017,drive
1018,women
1019,need
1020,stop
1021,call
1022,``
1023,girl
1024,shit
1025,girl
1026,need
1027,reassur
1028,real
1029,men
1030,sexist
1031,practic
1032,observ
1033,call
1034,sexist
1035,whatev
1036,someth
1037,bout
1038,women
1039,driver
1040,bug
1041,call
1042,``
1043,sexist
1044,like
1045,love
1046,n't
1047,one
1048,drive
1049,speed
1050,wrong
1051,way
1052,around
1053,tight
1054,car-park
1055,lol
1056,omg
1057,call
1058,sexist
1059,n't
1060,respect
1061,anyth
1062,girl
1063,say
1064,footbal
1065,sport
1066,lol
1067,never
1068,met
1069,sexist
1070,spell
1071,``
1072,genuin
1073,call
1074,sexist
1075,whatev
1076,ive
1077,never
1078,actual
1079,met
1080,genuinli
1081,funni
1082,girl
1083,call
1084,sexist
1085,need
1086,specif
1087,train
1088,segment
1089,coach
1090,women
1091,defeat
1092,purpos
1093,equal
1094,across
1095,yeah
1096,feed
1097,hungri
1098,full
1099,?
1100,give
1101,shelter
1102,homeless
1103,home
1104,?
1105,unequ
1106,sexist
1107,hate
1108,femal
1109,sport
1110,analyst
1111,swear
1112,look
1113,stat
1114,sheet
1115,state
1116,obviou
1117,felt
1118,place
1119,parti
1120,last
1121,night
1122,would
1123,man
1124,stand
1125,kitchen
1126,long
1127,...
1128,woman
1129,proper
1130,stare
1131,whilst
1132,park
1133,car
1134,ok
1135,babe
1136,male
1137,therefor
1138,drive
1139,call
1140,sexist
1141,label
1142,``
1143,old
1144,fashion
1145,sadder
1146,sight
1147,world
1148,drunk
1149,woman
1150,sadden
1151,hell
1152,outta
1153,call
1154,sexist
1155,old
1156,fashion
1157,prefer
1158,femal
1159,dont
1160,like
1161,sport
1162,want
1163,girli
1164,girlfriend
1165,boyfriend
1166,women
1167,http
1168,well
1169,marri
1170,someon
1171,cook
1172,)
1173,say
1174,im
1175,sexist
1176,seem
1177,like
1178,femal
1179,never
1180,valid
1181,opinion
1182,come
1183,sport
1184,offenc
1185,anyon
1186,women
1187,poor
1188,driver
1189,sexist
1190,funni
1191,attack
1192,women
1193,right
1194,get
1195,defens
1196,swear
1197,sexist
1198,...
1199,http
1200,sexist
1201,slightest
1202,women
1203,comedian
1204,allow
1205,n't
1206,funni
1207,cri
1208,?
1209,think
1210,cri
1211,exactli
1212,women
1213,look
1214,like
1215,thank
1216,http
1217,men
1218,pretend
1219,give
1220,birth
1221,?
1222,?
1223,women
1224,stop
1225,pretend
1226,make
1227,differ
1228,polit
1229,alway
1230,tell
1231,girl
1232,tit
1233,fake
1234,loud
1235,scream
1236,bite
1237,nippl
1238,girl
1239,dress
1240,women
1241,halloween
1242,year
1243,y'all
1244,dress
1245,like
1246,hoe
1247,make
1248,mistak
1249,ridicul
1250,u
1251,ugirl
1252,go
1253,make
1254,tonight..
1255,one
1256,would
1257,recogn
1258,girl
1259,dress
1260,housew
1261,sinc
1262,hoe
1263,year
1264,long
1265,halloween
1266,girl
1267,go
1268,without
1269,makeup
1270,girl
1271,go
1272,without
1273,make
1274,probabl
1275,scari
1276,af
1277,halloween
1278,girl
1279,go
1280,makeup
1281,would
1282,scari
1283,girl
1284,wear
1285,type
1286,tight
1287,cloth
1288,none
1289,girl
1290,worn
1291,make
1292,school
1293,would
1294,scari
1295,halloween
1296,think
1297,extrem
1298,fat
1299,girl
1300,forc
1301,least
1302,peopl
1303,approv
1304,outfit
1305,allow
1306,wear
1307,y'all
1308,girl
1309,nun
1310,halloween
1311,caus
1312,y'all
1313,hoe
1314,year
1315,round
1316,top-notch
1317,commentari
1318,a+
1319,would
1320,ridicul
1321,hahahahahaha
1322,fuckin
1323,pussi
1324,``
1325,readi
1326,minut
1327,girl
1328,usual
1329,mean
1330,``
1331,readi
1332,+
1333,minut
1334,women
1335,particip
1336,shave
1337,novemb
1338,legal
1339,ai
1340,n't
1341,guy
1342,want
1343,hairi
1344,chewbacca
1345,women
1346,attent
1347,women
1348,particip
1349,shave
1350,novemb
1351,girl
1352,repeat
1353,particip
1354,shave
1355,novemb
1356,girl
1357,never
1358,particip
1359,shave
1360,novemb
1361,ca
1362,n't
1363,deal
1364,women
1365,footbal
1366,announc
1367,sexist
1368,n't
1369,sound
1370,right
1371,tri
1372,sexist
1373,n't
1374,think
1375,women
1376,announc
1377,footbal
1378,game
1379,sound
1380,like
1381,got
1382,well
1383,good
1384,ref
1385,today
1386,bloodi
1387,women
1388,stay
1389,kitchen
1390,women
1391,never
1392,particip
1393,shave
1394,novemb
1395,hair
1396,head
1397,yeah
1398,child
1399,labor
1400,illeg
1401,unless
1402,mean
1403,``
1404,women
1405,?
1406,girl
1407,allow
1408,comment
1409,footbal
1410,game
1411,girl
1412,shave
1413,matter
1414,month
1415,bout
1416,beckl
1417,anoth
1418,woman
1419,prime
1420,minist
1421,sexist
1422,look
1423,go
1424,...
1425,...
1426,sexist
1427,women
1428,easili
1429,confus
1430,?
1431,?
1432,would
1433,n't
1434,thought
1435,sexist
1436,sit
1437,plane
1438,readi
1439,leav
1440,femal
1441,captain
1442,come
1443,speaker
1444,probabl
1445,sexist
1446,stand
1447,femal
1448,report
1449,men
1450,sport
1451,hat
1452,girl
1453,light
1454,weed
1455,n't
1456,understand
1457,girl
1458,ca
1459,n't
1460,handl
1461,simpl
1462,mechan
1463,ligh
1464,whut
1465,btw
1466,im
1467,sexist
1468,ju
1469,mean
1470,woman
1471,bark
1472,da
1473,offic
1474,one
1475,kneel
1476,submit
1477,da
1478,bedroom..
1479,call
1480,old
1481,fashioned..cal
1482,sexist..but
1483,feel
1484,woman
1485,need
1486,know
1487,throw
1488,kitchen
1489,man
1490,provid
1491,nope
1492,call
1493,sexist
1494,shave
1495,novemb
1496,guy
1497,clever
1498,pulitz
1499,tweet
1500,think
1501,women
1502,wear
1503,make-up
1504,drive
1505,look
1506,rear
1507,mirror
1508,occasion
1509,girl
1510,care
1511,opinion
1512,girl
1513,particip
1514,shave
1515,novemb
1516,u
1517,write
1518,urself
1519,omg
1520,girl
1521,come
1522,sign
1523,``
1524,must
1525,tall
1526,ride
1527,emot
1528,rollercoast
1529,tell
1530,dont
1531,think
1532,girl
1533,shave
1534,novemb
1535,reason
1536,ship
1537,sank
1538,guy
1539,die
1540,woman
1541,board
1542,maverick
1543,dumb
1544,asshol
1545,sexist
1546,btw
1547,caus
1548,punch
1549,woman
1550,show
1551,equal
1552,n't
1553,even
1554,know
1555,want
1556,say
1557,thing
1558,like
1559,``
1560,woman
1561,prerog
1562,chang
1563,call
1564,sexist
1565,girl
1566,n't
1567,shave
1568,novemb
1569,sorri
1570,call
1571,sexist
1572,men
1573,breadwinn
1574,women
1575,make
1576,money
1577,household
1578,got
1579,ta
1580,order
1581,within
1582,asucc
1583,everi
1584,girl
1585,sad
1586,boy
1587,sexist
1588,realist
1589,im
1590,sexist
1591,...
1592,there
1593,someth
1594,women
1595,play
1596,rugbi
1597,realli
1598,doesnt
1599,look
1600,right
1601,ca
1602,n't
1603,even
1604,fuck
1605,ride
1606,bike
1607,?
1608,shit
1609,?
1610,sexist
1611,girl
1612,ride
1613,bike
1614,look
1615,weird
1616,af
1617,honestli
1618,ca
1619,n't
1620,believ
1621,ad
1622,femal
1623,soldier
1624,call
1625,duti
1626,ghost
1627,sexist
1628,kinda
1629,weird
1630,l
1631,sexist
1632,call
1633,cunt
1634,offend
1635,call
1636,realli
1637,angri
1638,lol
1639,oh
1640,*tee
1641,hee
1642,hee*
1643,yo
1644,fyi
1645,sexist
1646,=_=
1647,like
1648,piss
1649,girl
1650,x
1651,)
1652,sexist
1653,scientist
1654,research
1655,stuff
1656,girl
1657,write
1658,put
1659,social
1660,network
1661,evid
1662,men
1663,sm
1664,today
1665,one
1666,student
1667,spoke
1668,loudli
1669,openli
1670,unfair
1671,women
1672,get
1673,shit
1674,shave
1675,novemb
1676,hope
1677,sexist
1678,hear
1679,group
1680,drunk
1681,femal
1682,tri
1683,yaya/kolo
1684,tour
1685,chant
1686,feel
1687,wrong
1688,sexist
1689,stand
1690,watch
1691,sport
1692,women
1693,superb
1694,park
1695,could
1696,n't
1697,done
1698,better
1699,job
1700,lol
1701,http
1702,one
1703,never
1704,awar
1705,femal
1706,pilot
1707,exist
1708,?
1709,tend
1710,think
1711,rsx
1712,chick
1713,car
1714,though
1715,lol
1716,sexist
1717,dad
1718,taught
1719,better
1720,knew
1721,would
1722,abl
1723,explain
1724,better
1725,mom
1726,plu
1727,gold
1728,mine
1729,im
1730,sexist
1731,lighten
1732,learn
1733,take
1734,joke
1735,nope
1736,gross
1737,assfac
1738,girl
1739,allow
1740,particip
1741,shave
1742,novemb
1743,...
1744,sexist
1745,gross
1746,//
1747,nope
1748,sexist
1749,think
1750,doctor
1751,stick
1752,male
1753,sexist
1754,driver
1755,would
1756,drive
1757,stop
1758,everi
1759,second
1760,open
1761,lane
1762,left
1763,sexist
1764,certain
1765,thing
1766,woman
1767,ca
1768,n't
1769,tell
1770,noth
1771,sexist
1772,femal
1773,manag
1774,think
1775,r
1776,god
1777,greatest
1778,creation..
1779,way
1780,power
1781,hungri
1782,..
1783,u
1784,lot
1785,need
1786,chiiil
1787,still
1788,bother
1789,cammi
1790,granato
1791,got
1792,hall
1793,fame
1794,adam
1795,oat
1796,sexist
1797,realli
1798,?
1799,sexist
1800,think
1801,gener
1802,men
1803,make
1804,waaaay
1805,better
1806,music
1807,sexist
1808,believ
1809,women
1810,tendenc
1811,impract
1812,men
1813,call
1814,sexist
1815,women
1816,take
1817,seriou
1818,angri
1819,mom
1820,grandma
1821,call
1822,sexist
1823,n't
1824,think
1825,wan
1826,na
1827,see
1828,women
1829,presid
1830,stage
1831,life
1832,gon
1833,na
1834,stop
1835,right
1836,n't
1837,sexist
1838,right
1839,oh
1840,ok
1841,n't
1842,sexist
1843,anyon
1844,start
1845,true
1846,...
1847,..
1848,femal
1849,comedian
1850,funni
1851,one
1852,ever
1853,sexist
1854,whatsoev
1855,cant
1856,stand
1857,hear
1858,chick
1859,voic
1860,sport
1861,talk
1862,radio
1863,footbal
1864,biolog
1865,n't
1866,tweet
1867,period
1868,women
1869,n't
1870,tweet
1871,footbal
1872,even
1873,seen
1874,women
1875,kick
1876,footbal
1877,think
1878,probabl
1879,genet
1880,never
1881,seen
1882,``
1883,women
1884,anyth
1885,seen
1886,sam
1887,gordon
1888,field
1889,full
1890,boy
1891,sexist
1892,chanc
1893,hell
1894,let
1895,girl
1896,beat
1897,anyth
1898,sorri
1899,sexist
1900,hate
1901,hear
1902,femal
1903,footbal
1904,sport
1905,caster
1906,idk
1907,im
1908,sexist
1909,girl
1910,rap
1911,weird
1912,mum
1913,plug
1914,ipad
1915,charger
1916,n't
1917,turn
1918,plug
1919,concern
1920,girl
1921,drive
1922,date
1923,weather
1924,...
1925,hate
1926,women
1927,sport
1928,analyst
1929,unless
1930,siri
1931,amirit
1932,lol
1933,never
1934,ever
1935,take
1936,direct
1937,woman
1938,fat
1939,ami
1940,n't
1941,funni
1942,women
1943,...
1944,person
1945,n't
1946,think
1947,women
1948,funni
1949,wow
1950,funni
1951,make
1952,sens
1953,transexu
1954,speaker
1955,said
1956,becam
1957,woman
1958,got
1959,wors
1960,drive
1961,call
1962,sexist
1963,want
1964,girl
1965,never
1966,comment
1967,footbal
1968,men
1969,sport
1970,matter
1971,call
1972,sexist
1973,get
1974,annoy
1975,women
1976,anchor
1977,sportscent
1978,alway
1979,extrem
1980,skeptic
1981,thing
1982,first
1983,come
1984,call
1985,sexist
1986,whatev
1987,want
1988,sexual
1989,assault
1990,broad
1991,term
1992,sexist
1993,must
1994,say
1995,women
1996,worst
1997,driver
1998,...
1999,peopl
2000,work
2001,childish
2002,lol
2003,run
2004,women
2005,im
2006,sexist
2007,women
2008,dont
2009,agre
2010,someth
2011,oh
2012,man
2013,...
2014,sexist
2015,woman
2016,comment
2017,rugbi
2018,right
2019,swear
2020,sexist
2021,way
2022,mani
2023,femal
2024,driver
2025,town
2026,chick
2027,ami
2028,schumer
2029,funni
2030,women
2031,comic
2032,realli
2033,got
2034,ta
2035,come
2036,wit
2037,sexist
2038,women
2039,comic
2040,limit
2041,sexist
2042,someth
2043,ai
2044,n't
2045,right
2046,women
2047,call
2048,footbal
2049,game
2050,lol
2051,sexist
2052,...
2053,handl
2054,women
2055,announc
2056,mute
2057,tv
2058,bother
2059,anyon
2060,use
2061,foul
2062,languag
2063,come
2064,girl
2065,mouth
2066,seem
2067,x
2068,wors
2069,call
2070,sexist
2071,refus
2072,watch
2073,footbal
2074,game
2075,woman
2076,refere
2077,im
2078,sorri
2079,im
2080,sexist
2081,scare
2082,woman
2083,run
2084,countri
2085,women
2086,nice
2087,even
2088,real
2089,person
2090,?
2091,sexist
2092,men
2093,superior
2094,women
2095,ye
2096,swear
2097,sexist
2098,watch
2099,girl
2100,basketbal
2101,usual
2102,make
2103,want
2104,shoot
2105,head
2106,feel
2107,u
2108,find
2109,s'thing
2110,complain
2111,would
2112,n't
2113,care
2114,averag
2115,ref
2116,got
2117,wrong
2118,yeah
2119,bc
2120,militari
2121,battl
2122,=
2123,rivet
2124,sexist
2125,read
2126,social
2127,advanc
2128,women
2129,bore
2130,classic
2131,care
2132,love
2133,women
2134,im
2135,sexist
2136,make
2137,joke
2138,sorri
2139,like
2140,comput
2141,program
2142,?
2143,http
2144,im
2145,sexist
2146,butttttttttttttt
2147,n't
2148,fuck
2149,womanli
2150,job
2151,http
2152,im
2153,sexist
2154,r
2155,anyth
2156,realli
2157,dont
2158,feel
2159,comfort
2160,femal
2161,barber
2162,cut
2163,hair
2164,ever
2165,true
2166,savant
2167,play
2168,mortal
2169,kombat
2170,pick
2171,girl
2172,im
2173,sexist
2174,like
2175,boob
2176,sexist
2177,prefer
2178,male
2179,professor
2180,femal
2181,sexist
2182,everi
2183,time
2184,get
2185,road
2186,rage
2187,sexist
2188,n't
2189,agre
2190,women
2191,sport
2192,show
2193,talk
2194,sole
2195,men
2196,sport
2197,sexist
2198,hate
2199,certain
2200,girl
2201,tweet
2202,footbal
2203,bet
2204,think
2205,offsid
2206,season
2207,sexist
2208,sexist
2209,joke
2210,funni
2211,sexist
2212,say
2213,guy
2214,tough
2215,month
2216,women
2217,tough
2218,day
2219,month
2220,complain
2221,real
2222,man
2223,know
2224,abl
2225,cook
2226,one
2227,attract
2228,qualiti
2229,woman
2230,hahaa
2231,popular
2232,snapchat
2233,everi
2234,girl
2235,phone
2236,told
2237,make
2238,dinner
2239,lol
2240,*yawn*
2241,im
2242,sorri
2243,women
2244,drive
2245,call
2246,sexist
2247,whatev
2248,true
2249,time
2250,machin
2251,broken
2252,socrat
2253,?
2254,call
2255,sexist
2256,mayb
2257,that
2258,true
2259,dont
2260,think
2261,woman
2262,presid
2263,``
2264,radic
2265,?
2266,lol
2267,call
2268,sexist
2269,girl
2270,play
2271,bf
2272,?
2273,lol
2274,ye
2275,call
2276,sexist
2277,bias
2278,whatev
2279,serious
2280,think
2281,terribl
2282,drive
2283,pass
2284,chromosom
2285,bad
2286,wo
2287,n't
2288,take
2289,call
2290,sexist
2291,want
2292,take
2293,woman
2294,cook
2295,one
2296,ca
2297,n't
2298,day
2299,ca
2300,n't
2301,talk
2302,w/male
2303,ca
2304,n't
2305,grasp
2306,anyth
2307,complic
2308,video
2309,game
2310,ca
2311,n't
2312,talk
2313,sport
2314,females..cal
2315,sexist
2316,weird
2317,brain-destroy
2318,sexism
2319,talkin
2320,call
2321,sexist
2322,women
2323,good
2324,high
2325,five
2326,good
2327,thing
2328,never
2329,get
2330,opportun
2331,n't
2332,feel
2333,safe
2334,drive
2335,girl
2336,call
2337,sexist
2338,assum
2339,wo
2340,n't
2341,children
2342,/
2343,job
2344,call
2345,sexist
2346,wife
2347,-
2348,job
2349,even
2350,misogynist
2351,magnet
2352,poetri
2353,clich
2354,get
2355,back
2356,kitchen
2357,slut
2358,fat
2359,men
2360,fat
2361,women
2362,equal
2363,opportun
2364,world
2365,right
2366,sexist
2367,call
2368,fat
2369,pleas
2370,whoa
2371,rare
2372,shit
2373,gem
2374,sewer
2375,sexist
2376,realli
2377,hope
2378,n't
2379,daughter
2380,sexist
2381,girl
2382,n't
2383,wrestl
2384,sorri
2385,sexist
2386,doubl
2387,standard
2388,certain
2389,rule
2390,dude
2391,certain
2392,rule
2393,fem
2394,best
2395,time
2396,worst
2397,time
2398,amaz
2399,tit
2400,got
2401,ta
2402,say
2403,erin
2404,andrew
2405,averag
2406,look
2407,``
2408,super
2409,talk
2410,hotti
2411,ever
2412,?
2413,total
2414,fine
2415,sport
2416,best
2417,part
2418,woman
2419,bodi
2420,hand
2421,simpli
2422,make
2423,sandwich
2424,clean
2425,shit
2426,fuck
2427,asshol
2428,eh
2429,seem
2430,right
2431,...
2432,http
2433,wow
2434,okay
2435,compar
2436,word
2437,``
2438,whore
2439,n-word
2440,im
2441,sexist
2442,women
2443,belong
2444,espn
2445,analyst
2446,comment
2447,'m
2448,sexist
2449,girl
2450,ab
2451,nonsens
2452,realli
2453,attract
2454,'m
2455,sexist
2456,seen
2457,piec
2458,dread
2459,drive
2460,morn
2461,garag
2462,everytim
2463,w
2464,im
2465,sexist
2466,girl
2467,know
2468,cook
2469,know
2470,say
2471,sexism
2472,horribl
2473,sexist
2474,statement
2475,men
2476,driver
2477,better
2478,woman
2479,correct
2480,everi
2481,way
2482,'m
2483,sexist
2484,must
2485,admit
2486,``
2487,women
2488,belong
2489,kitchen
2490,joke
2491,worth
2492,chuckl
2493,first
2494,ever
2495,man
2496,vs
2497,woman
2498,mma
2499,fight
2500,take
2501,place
2502,weekend
2503,brazil
2504,like
2505,real
2506,?
2507,happen
2508,evan
2509,fornier
2510,need
2511,grow
2512,facial
2513,hair
